total_return_pct,sharpe,profit_factor,win_rate,max_dd_pct,trade_count,final_equity,sl_range_mult,tp_range_mult,trail_pct,breakeven_R,partial_tp,min_signals,C_enter,rolling_wr_filter
195.081,0.1145,1.316,39.82,24.43,339,147.5407,0.3,0.8,0.3,1.0,False,3,0.55,False
-18.999,-0.3623,0.454,25.0,18.999,20,40.5003,0.3,0.8,0.3,1.0,False,3,0.6,True
102.846,0.094,1.247,39.29,26.524,252,101.4228,0.3,0.8,0.3,1.0,False,3,0.6,False
68.801,0.1498,1.423,42.0,17.509,100,84.4006,0.3,0.8,0.3,1.0,False,4,0.5,True
445.718,0.1428,1.404,41.1,17.509,438,272.8592,0.3,0.8,0.3,1.0,False,4,0.5,False
41.775,0.1065,1.285,41.11,19.346,90,70.8876,0.3,0.8,0.3,1.0,False,4,0.55,True
41.324,0.1023,1.273,40.43,21.143,94,70.6619,0.3,0.8,0.3,1.0,False,4,0.55,False
41.775,0.1065,1.285,41.11,19.346,90,70.8876,0.3,0.8,0.3,1.0,False,4,0.6,True
41.324,0.1023,1.273,40.43,21.143,94,70.6619,0.3,0.8,0.3,1.0,False,4,0.6,False
-19.711,-0.2341,0.604,36.67,26.079,30,40.1443,0.3,0.8,0.3,1.0,False,5,0.5,True
128.2,0.0786,1.202,38.58,33.223,337,114.1,0.3,0.8,0.3,1.0,False,5,0.5,False
-20.134,-0.244,0.595,34.48,26.468,29,39.9332,0.3,0.8,0.3,1.0,False,5,0.55,True
101.099,0.0674,1.171,37.65,27.757,324,100.5494,0.3,0.8,0.3,1.0,False,5,0.55,False
-20.134,-0.244,0.595,34.48,26.468,29,39.9332,0.3,0.8,0.3,1.0,False,5,0.6,True
101.099,0.0674,1.171,37.65,27.757,324,100.5494,0.3,0.8,0.3,1.0,False,5,0.6,False
-22.54,-0.0367,0.923,55.27,47.227,313,38.7301,0.3,0.8,0.3,1.5,True,3,0.5,True
-22.54,-0.0367,0.923,55.27,47.227,313,38.7301,0.3,0.8,0.3,1.5,True,3,0.5,False
-20.183,-0.0316,0.933,55.49,47.451,319,39.9087,0.3,0.8,0.3,1.5,True,3,0.55,True
-20.183,-0.0316,0.933,55.49,47.451,319,39.9087,0.3,0.8,0.3,1.5,True,3,0.55,False
-28.57,-0.0474,0.902,54.58,47.223,306,35.7148,0.3,0.8,0.3,1.5,True,3,0.6,True
-28.57,-0.0474,0.902,54.58,47.223,306,35.7148,0.3,0.8,0.3,1.5,True,3,0.6,False
39.107,0.0375,1.085,58.13,28.57,406,69.5535,0.3,0.8,0.3,1.5,True,4,0.5,True
39.107,0.0375,1.085,58.13,28.57,406,69.5535,0.3,0.8,0.3,1.5,True,4,0.5,False
79.121,0.0684,1.162,60.09,30.612,436,89.5607,0.3,0.8,0.3,1.5,True,4,0.55,True
79.121,0.0684,1.162,60.09,30.612,436,89.5607,0.3,0.8,0.3,1.5,True,4,0.55,False
78.377,0.0678,1.16,59.82,29.12,438,89.1886,0.3,0.8,0.3,1.5,True,4,0.6,True
78.377,0.0678,1.16,59.82,29.12,438,89.1886,0.3,0.8,0.3,1.5,True,4,0.6,False
-10.632,-0.0136,0.971,56.56,33.749,343,44.6841,0.3,0.8,0.3,1.5,True,5,0.5,True
-10.632,-0.0136,0.971,56.56,33.749,343,44.6841,0.3,0.8,0.3,1.5,True,5,0.5,False
-15.155,-0.0279,0.941,55.84,30.955,231,42.4226,0.3,0.8,0.3,1.5,True,5,0.55,True
-19.299,-0.025,0.947,55.95,45.109,336,40.3505,0.3,0.8,0.3,1.5,True,5,0.55,False
-15.155,-0.0279,0.941,55.84,30.955,231,42.4226,0.3,0.8,0.3,1.5,True,5,0.6,True
-19.299,-0.025,0.947,55.95,45.109,336,40.3505,0.3,0.8,0.3,1.5,True,5,0.6,False
-20.765,-0.4087,0.405,20.0,20.765,20,39.6174,0.3,0.8,0.3,1.5,False,3,0.5,True
170.9,0.1052,1.287,39.58,27.116,336,135.45,0.3,0.8,0.3,1.5,False,3,0.5,False
-20.765,-0.4087,0.405,20.0,20.765,20,39.6174,0.3,0.8,0.3,1.5,False,3,0.55,True
195.081,0.1145,1.316,39.82,24.43,339,147.5407,0.3,0.8,0.3,1.5,False,3,0.55,False
-18.999,-0.3623,0.454,25.0,18.999,20,40.5003,0.3,0.8,0.3,1.5,False,3,0.6,True
102.846,0.094,1.247,39.29,26.524,252,101.4228,0.3,0.8,0.3,1.5,False,3,0.6,False
68.801,0.1498,1.423,42.0,17.509,100,84.4006,0.3,0.8,0.3,1.5,False,4,0.5,True
445.718,0.1428,1.404,41.1,17.509,438,272.8592,0.3,0.8,0.3,1.5,False,4,0.5,False
41.775,0.1065,1.285,41.11,19.346,90,70.8876,0.3,0.8,0.3,1.5,False,4,0.55,True
41.324,0.1023,1.273,40.43,21.143,94,70.6619,0.3,0.8,0.3,1.5,False,4,0.55,False
41.775,0.1065,1.285,41.11,19.346,90,70.8876,0.3,0.8,0.3,1.5,False,4,0.6,True
41.324,0.1023,1.273,40.43,21.143,94,70.6619,0.3,0.8,0.3,1.5,False,4,0.6,False
-19.711,-0.2341,0.604,36.67,26.079,30,40.1443,0.3,0.8,0.3,1.5,False,5,0.5,True
