timestamp,symbol,side,entry_price,exit_price,quantity,pnl,pnl_R,duration_ms,slippage_entry,slippage_exit,exit_reason,mae,mfe
1770373827281,SOLUSDT,SELL,81.42,81.41499999999999,0.2,0.001,0.0005,2689,,,confidence_exit,,
1770373830599,ETHUSDT,SELL,1925.51,1925.5,0.01,0.0001,0.0001,558,,,position_closed,,
1770373853226,XRPUSDT,BUY,1.3607,1.3608,15,0.0015,0.0008,1094,,,confidence_exit,,
1770373876449,ETHUSDT,BUY,1962.64,1962.65,0.01,0.0001,0.0001,239,,,position_closed,,
1770373890617,DOGEUSDT,SELL,0.09011,0.0901,249,0.00249,0.0014,242,,,position_closed,,
1770373995297,SOLUSDT,BUY,81.51,81.515,0.9,0.0045,0.0025,2699,,,confidence_exit,,
1770374012497,DOGEUSDT,BUY,0.09209,0.0921,777,0.00777,0.0043,1622,,,confidence_exit,,
1770374020921,ETHUSDT,SELL,1964.61,1964.6,0.03,0.0003,0.0002,593,,,position_closed,,
1770374025841,XRPUSDT,SELL,1.3249,1.3248,34,0.0034,0.0019,302,,,position_closed,,
1770374062272,SOLUSDT,SELL,81.36,81.35,0.7000000000000001,0.007,0.0038,1824,,,confidence_exit,,
1770374086847,XRPUSDT,SELL,1.4258,1.4257,37,0.0037,0.002,1697,,,confidence_exit,,
1770374269755,DOGEUSDT,BUY,0.09167,0.09168,2102,0.02102,0.0094,13375,,,confidence_exit,,
1770374277129,ETHUSDT,SELL,1960.08,1960.07,0.19,0.0019,0.0008,1510,,,confidence_exit,,
1770374285170,XRPUSDT,SELL,1.4203,1.4202,262,0.0262,0.0117,912,,,confidence_exit,,
1770374317484,XRPUSDT,BUY,1.3611,1.3612,255,0.0255,0.011,243,,,position_closed,,
1770374413513,SOLUSDT,SELL,81.35,81.34,3.3000000000000003,0.033,0.0143,573,,,position_closed,,
1770374480032,ETHUSDT,BUY,1962.95,1962.96,0.19,0.0019,0.0008,4666,,,confidence_exit,,
